food,caloric_value,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,nutrition_density,health_score,health_score_norm,health_level
scallops fried,64,3.2,0.8,2.1,0.1,6.4,0.0,2.6,0.0,18.0,0.2,15.698,2.1180000000000003,67.2134143418656,1
shrimp cooked,7,0.092,0.023,0.003,0.0,0.013,0.0,1.3,0.0,11.6,0.012,6.398,1.7878800000000004,67.19693102291248,1
clams fried,19,1.0,0.3,0.4,0.3,1.0,0.0,1.3,0.0,5.7,0.068,11.464,1.2923200000000001,67.17218707059087,1
alaska king crab cooked,130,2.1,0.2,0.2,0.7,0.0,0.0,25.9,0.0,71.0,1.4,118.35,37.72599999999999,68.99136787780014,1
scallops cooked,11,0.058,0.092,0.096,0.086,0.5,0.0,2.1,0.0,4.1,0.06,2.732,2.9244000000000003,67.25367893778163,1
squid fried,140,6.0,1.5,2.2,1.7,6.2,0.0,14.4,0.0,208.0,0.2,62.028,16.518,67.93242498322309,1
oyster raw,41,1.2,0.3,0.2,0.4,2.5,0.0,4.7,0.0,25.0,0.059,19.054,6.199410000000001,67.41720442670885,1
abalone,89,0.6,0.1,0.02,0.091,5.1,0.0,14.5,0.0,72.3,0.3,51.092,20.824,68.1474291375068,1
queen crab raw,25,0.3,0.096,0.027,0.1,0.0,0.0,5.2,0.0,15.6,0.2,15.607,7.450000000000001,67.47964800434603,1
whelk cooked,78,0.2,0.003,0.068,0.037,4.4,0.0,13.5,0.0,36.8,0.1,54.806,19.875,68.10004433898955,1
oyster cooked,41,1.2,0.3,0.2,0.4,2.5,0.0,4.7,0.0,25.0,0.066,17.971,6.199340000000001,67.41720093151822,1
eastern oyster cooked,8,0.2,0.073,0.004,0.018,0.7,0.0,0.7,0.0,3.7,0.038,8.598,0.8666199999999997,67.15093131850574,1
blue mussels cooked,344,9.0,1.7,2.0,2.4,14.8,0.0,47.6,0.0,112.0,0.7,178.2,66.87299999999999,70.44671531972007,1
octopus raw,23,0.3,0.002,0.042,0.038,0.6,0.0,4.2,0.0,13.6,0.064,23.044,6.159360000000001,67.41520467836258,1
spiny lobster cooked,233,3.2,0.5,0.6,1.2,5.1,0.0,43.0,0.0,146.7,0.4,159.731,62.029,70.20484812897453,1
blue mussels raw,129,3.4,0.6,0.8,0.9,5.5,0.0,17.9,0.0,42.0,0.4,83.72,25.225999999999996,68.36722669606621,1
queen crab cooked,98,1.3,0.2,0.3,0.5,0.0,0.0,20.2,0.0,60.4,0.6,58.197,29.29,68.57014747707156,1
dungeness crab cooked,140,1.6,0.2,0.3,0.5,1.2,0.0,28.3,0.0,96.5,0.5,111.171,41.08,69.158837439683,1
dungeness crab raw,140,1.6,0.2,0.3,0.5,1.2,0.0,28.4,0.0,96.2,0.5,112.564,41.23299999999999,69.16647692774742,1
shrimp fried,52,3.2,0.7,2.0,0.3,4.8,0.086,1.3,0.1,9.9,0.2,14.433,0.47700000000000053,67.13147708752757,1
shrimp raw,4,0.023,0.061,0.075,0.009,0.041,0.0,0.7,0.0,6.3,0.083,3.712,0.8641699999999999,67.15080898683412,1
blue crab cooked,71,0.6,0.2,0.1,0.2,0.0,0.0,15.2,0.0,82.5,0.3,16.719,21.572,68.18477774582175,1
shrimp imitation,29,0.4,0.019,0.014,0.2,2.6,0.0,3.5,0.0,10.2,0.2,12.119,5.108,67.36270891253635,1
conch baked,165,1.5,0.5,0.4,0.3,2.2,0.0,33.4,0.0,82.6,0.2,163.446,48.27199999999999,69.51794331000542,1
squid raw,26,0.4,0.1,0.094,0.1,0.9,0.0,4.4,0.0,65.9,0.09,16.386,5.740100000000001,67.39427048381427,1
scallop raw,10,0.091,0.089,0.026,0.005,0.5,0.0,1.8,0.0,3.6,0.057,3.417,2.48543,67.23176059741796,1
lobster raw,116,1.1,0.3,0.3,0.4,0.0,0.0,24.8,0.0,190.5,0.6,152.362,34.689,68.83972653628607,1
scallop imitation,28,0.1,0.065,0.085,0.098,3.0,0.0,3.6,0.0,6.2,0.2,9.105,5.206,67.36760217940115,1
blue crab raw,18,0.2,0.067,0.048,0.063,0.018,0.0,3.8,0.0,16.4,0.079,23.615,5.401209999999999,67.37734926740805,1
whelk raw,39,0.1,0.096,0.067,0.005,2.2,0.0,6.7,0.0,18.4,0.073,27.678,9.67327,67.5906587535551,1
spiny lobster raw,234,3.2,0.5,0.6,1.2,5.1,0.0,43.1,0.0,146.3,0.4,160.501,62.18300000000001,70.2125375483335,1
clams canned,227,2.5,0.5,0.3,0.5,9.4,0.0,38.8,0.0,80.0,0.2,159.2,56.397999999999996,69.92368500942703,1
lobster cooked,134,1.3,0.3,0.4,0.5,0.0,0.0,28.5,0.0,219.0,0.7,32.314,39.953,69.10256487073787,1
eastern oyster fried,29,1.8,0.5,0.7,0.5,1.7,0.0,1.3,0.0,10.4,0.015,15.5,0.8458500000000002,67.14989424551815,1
clams raw,195,2.2,0.4,0.3,0.4,8.1,0.0,33.3,0.0,68.1,1.4,136.0,48.455,69.52708073690602,1
octopus cooked,139,1.8,0.4,0.3,0.4,3.7,0.0,25.3,0.0,81.6,0.4,135.853,36.330000000000005,68.9216637906241,1
eastern oyster raw,8,0.2,0.0,0.087,0.091,0.8,0.0,0.7,0.0,3.5,0.021,9.448,1.0147899999999999,67.15832963841754,1
oyster fried,61,3.0,0.8,1.2,0.8,6.7,0.0,2.1,0.0,18.1,0.1,17.861,1.3680000000000003,67.17596587096155,1
sturgeon smoked,49,1.2,0.3,0.7,0.1,0.0,0.0,8.8,0.0,22.6,0.2,15.175,12.372,67.72540983606558,1
chinook salmon smoked,159,5.9,1.3,2.8,1.4,0.0,0.0,24.9,0.0,31.3,1.1,47.038,34.42599999999999,68.8265946058224,1
cisco smoked,50,3.4,0.5,1.6,0.6,0.0,0.0,4.6,0.0,9.1,0.1,15.576,5.807999999999999,67.39766081871346,1
haddock smoked,33,0.3,0.049,0.006,0.055,0.0,0.0,7.1,0.0,21.8,0.2,21.719,10.331999999999997,67.6235499952066,1
whitefish smoked,147,1.3,0.3,0.4,0.4,0.0,0.0,31.8,0.0,44.9,1.4,58.398,46.637,69.43630564343464,1
red salmon sockeye filets smoked,373,12.3,2.8,4.3,3.7,0.0,0.0,65.5,0.0,167.4,0.065,141.587,90.97535,71.65017685664526,1
eggnog,224,10.6,6.6,3.3,0.5,20.4,20.4,11.6,0.0,149.9,0.1,377.2,-38.099999999999994,65.20527753810758,1
beer light,96,0.0,0.0,0.0,0.0,5.4,0.3,0.8,0.0,0.0,0.095,19.456,0.5990500000000002,67.13757120202601,1
beer budweiser,12,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.095,2.2,0.14905000000000002,67.1151021194836,1
weizenbier erdinger,220,18.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-26.0,65.80944620202601,1
beer light budweiser,9,0.0,0.0,0.0,0.0,0.4,0.0,0.066,0.0,0.0,0.016,1.32,0.09884000000000001,67.1125950691848,1
beer,142,0.0,0.0,0.0,0.0,11.7,0.0,1.5,0.0,0.0,0.067,26.436,2.24933,67.21997181877737,1
root beer,202,0.0,0.0,0.0,0.0,52.3,52.3,0.0,0.0,0.0,0.068,52.334,-104.60068,61.88481249800275,1
whiskey sour mix,26,0.072,0.069,0.034,0.012,6.3,6.3,0.051,0.0,0.0,0.073,7.914,-12.662230000000001,66.47541832438564,1
whiskey sour,158,0.0,0.018,0.092,0.024,13.9,0.0,0.0,0.0,0.0,0.067,16.717,-0.036669999999999994,67.10582887946185,1
tequila sunrise,232,0.2,0.0,0.0,0.0,23.8,0.0,0.6,0.0,0.0,0.1,65.357,0.8989999999999999,67.1525480938229,1
daiquiri,112,0.036,0.063,0.038,0.012,4.2,3.3,0.035,0.001,0.0,0.008,7.243,-6.67158,66.774539234014,1
pina colada,245,2.7,2.3,0.1,0.035,32.0,31.5,0.6,0.4,0.0,0.089,35.877,-65.90088999999999,63.81714311107917,1
whiskey,58,0.0,0.0,0.0,0.0,0.1,0.078,0.0,0.0,0.0,0.0,0.127,-0.156,67.09987057808456,1
rum,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.049,-0.00053,67.10763339644649,1
vodka smirnoff,13,0.4,0.013,0.077,0.073,2.0,0.082,0.0,0.0,0.0,0.0,2.4,-0.19,67.09817291407025,1
coffee liqueur,96,0.038,0.096,0.03,0.042,13.8,13.7,0.041,0.0,0.0,0.093,14.241,-27.53143,65.73297991963058,1
gin,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,-0.00029,67.10764537995718,1
dessert wine sweet,165,0.0,0.0,0.0,0.0,14.1,8.0,0.2,0.0,0.0,0.047,22.7,-15.70047,66.32371506806635,1
chenin blanc white wine,118,0.0,0.0,0.0,0.0,4.9,0.0,0.1,0.0,0.0,0.0,5.0,0.15000000000000002,67.1151495542134,1
gamay red wine,115,0.0,0.0,0.0,0.0,3.5,0.0,0.1,14.4,0.0,0.0,146.6,28.95,68.55317083692839,1
late harvest white wine,172,0.0,0.0,0.0,0.0,20.6,0.0,0.1,13.1,0.0,0.0,153.6,26.349999999999998,68.42334947112772,1
gewurztraminer white wine,119,0.0,0.0,0.0,0.0,3.8,0.0,0.1,0.0,0.0,0.0,3.9,0.15000000000000002,67.1151495542134,1
burgundy red wine,172,0.0,0.0,0.0,0.0,7.4,0.0,0.1,0.0,0.0,0.0,7.5,0.15000000000000002,67.1151495542134,1
zinfandel red wine,129,0.0,0.0,0.0,0.0,4.2,0.0,0.1,0.0,0.0,0.0,4.3,0.15000000000000002,67.1151495542134,1
muller thurgau white wine,112,0.0,0.0,0.0,0.0,5.2,0.0,0.1,13.3,0.0,0.0,147.8,26.75,68.44332198894321,1
mouvedre red wine,129,0.0,0.0,0.0,0.0,3.9,0.0,0.1,16.5,0.0,0.0,146.6,33.15,68.762882273991,1
table wine,123,0.0,0.0,0.0,0.0,4.0,1.2,0.1,0.0,0.0,0.087,16.4,-2.25087,66.99527100709423,1
wine light,73,0.0,0.0,0.0,0.0,1.7,1.7,0.1,0.0,0.0,0.046,15.7,-3.25046,66.94536018438629,1
white wine,121,0.0,0.0,0.0,0.0,3.8,1.4,0.1,0.0,0.0,0.098,17.5,-2.65098,66.97529299683636,1
petite sirah red wine,125,0.0,0.0,0.0,0.0,3.9,0.0,0.1,15.7,0.0,0.0,146.4,31.549999999999997,68.68299220272904,1
non alcoholic wine,2,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.0,0.0,0.095,3.2,-0.45094999999999996,67.08514334276036,1
pinot noir red wine,121,0.0,0.0,0.0,0.0,3.4,0.0,0.1,0.0,0.0,0.0,3.5,0.15000000000000002,67.1151495542134,1
pinot gris grigio white wine,122,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,3.1,0.15000000000000002,67.1151495542134,1
riesling white wine,118,0.0,0.0,0.0,0.0,5.5,0.0,0.1,0.0,0.0,0.0,5.6,0.15000000000000002,67.1151495542134,1
barbera red wine,170,0.0,0.0,0.0,0.0,5.6,0.0,0.1,0.0,0.0,0.0,5.7,0.15000000000000002,67.1151495542134,1
lemberger red wine,118,0.0,0.0,0.0,0.0,3.6,0.0,0.1,15.0,0.0,0.0,146.6,30.15,68.61308839037486,1
merlot red wine,122,0.0,0.0,0.0,0.0,3.7,0.9,0.1,0.0,0.0,0.011,16.3,-1.65011,67.02526773160132,1
sangiovese red wine,126,0.0,0.0,0.0,0.0,3.9,0.0,0.1,0.0,0.0,0.0,4.0,0.15000000000000002,67.1151495542134,1
sauvignon blanc white wine,119,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,3.1,0.15000000000000002,67.1151495542134,1
syrah red wine,122,0.0,0.0,0.0,0.0,3.8,0.0,0.1,0.0,0.0,0.0,3.9,0.15000000000000002,67.1151495542134,1
carignane red wine,370,0.0,0.0,0.0,0.0,12.0,0.0,0.4,0.0,0.0,0.0,12.4,0.6000000000000001,67.13761863675583,1
pinot blanc white wine,119,0.0,0.0,0.0,0.0,2.9,0.0,0.1,0.0,0.0,0.0,3.0,0.15000000000000002,67.1151495542134,1
semillon white wine,121,0.0,0.0,0.0,0.0,4.6,0.0,0.1,14.9,0.0,0.0,147.7,29.95,68.60310213146711,1
dessert wine dry,760,0.0,0.0,0.0,0.0,58.4,5.5,1.0,76.5,0.0,0.0,498.8,143.5,74.27280062633817,1
red wine,125,0.0,0.0,0.0,0.0,3.8,0.9,0.1,0.0,0.0,0.027,16.4,-1.65027,67.02525974259419,1
cabernet sauvignon red wine,166,0.0,0.0,0.0,0.0,5.2,0.0,0.1,0.0,0.0,0.0,5.3,0.15000000000000002,67.1151495542134,1
muscat white wine,123,0.0,0.0,0.0,0.0,7.8,0.0,0.1,0.0,0.0,0.0,7.9,0.15000000000000002,67.1151495542134,1
cooking wine,2,0.0,0.0,0.0,0.0,0.3,0.09,0.028,0.0,0.0,0.002,0.879,-0.13801999999999998,67.10076834276035,1
chardonnay white wine,168,0.0,0.0,0.0,0.0,4.3,1.9,0.1,0.0,0.0,0.027,22.9,-3.65027,66.92539715351676,1
claret red wine,122,0.0,0.0,0.0,0.0,4.4,0.0,0.1,15.0,0.0,0.0,146.5,30.15,68.61308839037486,1
rice sake,197,0.0,0.0,0.0,0.0,7.4,0.0,0.7,0.0,0.0,0.046,15.6,1.04954,67.16006475090276,1
fume blanc white wine,121,0.0,0.0,0.0,0.0,3.3,0.0,0.1,15.4,0.0,0.0,146.7,30.95,68.65303342600582,1
cabarnet franc red wine,122,0.0,0.0,0.0,0.0,3.6,0.0,0.1,0.0,0.0,0.0,3.7,0.15000000000000002,67.1151495542134,1
chocolate frosting,81,3.6,1.1,1.8,0.5,13.0,11.8,0.2,0.2,0.0,0.025,18.9,-25.100250000000003,65.85437188428722,1
white sugar,19,0.0,0.0,0.0,0.0,5.0,4.9,0.0,0.0,0.0,0.012,5.037,-9.800120000000001,66.61832718179784,1
egg substitute,115,0.0,0.0,0.0,0.0,4.8,4.8,24.0,0.0,0.0,0.5,210.0,26.395,68.42559637938197,1
agave syrup,21,0.081,0.0,0.0,0.0,5.3,4.7,0.025,0.01,0.0,0.09,5.456,-9.3434,66.64113180263958,1
splenda sweetener,336,0.0,0.0,0.0,0.0,91.2,80.3,0.0,0.0,0.0,0.0,91.2,-160.6,59.08869395711501,2
vanilla extract,12,0.069,0.003,0.06,0.001,0.5,0.5,0.0,0.0,0.0,0.061,1.213,-1.00661,67.05739851963699,1
egg yolk dried,27,2.3,0.7,0.9,0.4,0.054,0.002,1.3,0.0,92.3,0.071,16.368,-0.37770999999999977,67.08880031077238,1
granulated sugar,16,0.0,0.0,0.0,0.0,4.2,4.2,0.0,0.0,0.0,0.019,4.253,-8.40019,66.68822749896142,1
baking chocolate,145,15.2,9.4,4.7,0.5,8.7,0.3,3.7,4.8,0.0,0.049,66.7,-4.25049,66.89542739190874,1
bakers yeast,18,0.3,0.089,0.2,0.079,3.1,0.0,1.4,1.4,0.0,0.066,10.078,4.72134,67.34340247819001,1
fondant,106,0.009,0.0,0.0,0.0,26.4,25.2,0.0,0.0,0.0,0.022,27.396,-50.40022,64.59111163039658,1
brown sugar,16,0.0,0.0,0.0,0.0,4.1,4.1,0.024,0.0,0.0,0.094,7.622,-8.16494,66.69997383600167,1
white frosting dry,768,0.0,0.0,0.0,0.0,196.4,0.0,4.8,0.0,0.0,0.5,209.7,7.194999999999999,67.46691552423864,1
maple sugar,42,0.061,0.076,0.037,0.09,10.9,10.2,0.036,0.0,0.0,0.031,21.961,-20.49831,66.08415270587672,1
fructose sweetener,15,0.0,0.0,0.0,0.0,4.2,3.9,0.0,0.0,0.0,0.013,4.274,-7.80013,66.71818927156232,1
saccharin sweetener,360,0.0,0.0,0.0,0.0,89.1,85.2,0.9,0.0,0.0,0.4,90.082,-169.054,58.66657479308471,2
egg white raw,17,0.063,0.0,0.0,0.0,0.2,0.2,3.6,0.0,0.0,0.038,6.196,4.99962,67.35729735883424,1
turbinado sugar,18,0.0,0.0,0.0,0.0,4.6,4.6,0.0,0.0,0.0,0.008,5.24,-9.20008,66.64828795577286,1
vanilla frosting,1931,75.0,13.7,22.5,36.7,313.7,291.5,0.0,0.0,0.0,0.9,403.3,-610.409,36.62914829195027,3
aspartame sweetener,365,0.0,0.0,0.0,0.0,89.1,80.7,2.2,0.0,0.0,0.0,91.381,-158.1,59.2135221934618,2
egg raw,80,5.3,1.8,2.0,1.1,0.4,0.2,7.0,0.0,208.3,0.08,45.156,4.4162,67.32816644297446,1
pineapple topping,860,0.3,0.066,0.1,0.2,225.8,71.4,0.3,1.4,0.0,0.1,259.1,-139.68300000000002,60.13310684498131,1
egg white dried,26,0.087,0.0,0.0,0.0,0.3,0.0,5.8,0.0,0.0,0.052,12.343,8.69948,67.54203615824625,1
egg yolk raw,55,4.5,1.6,2.0,0.7,0.6,0.08,2.7,0.0,184.5,0.006,30.27,-1.1550599999999995,67.04998621896272,1
baking soda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,-0.013000000000000001,67.1070107532036,1
egg dried,30,2.2,0.7,0.9,0.3,0.047,0.05,2.4,0.0,81.5,0.06,16.62,1.2843999999999998,67.17179161473811,1
strawberry topping,53,0.096,0.071,0.083,0.063,13.9,5.7,0.014,0.1,0.0,0.099,18.34,-11.32199,66.54233824257821,1
bakers yeast dry,13,0.3,0.078,0.2,0.069,1.6,0.0,1.6,1.1,0.0,0.081,5.927,4.44319,67.32951408861406,1
almond paste,1040,63.0,6.0,40.9,13.2,108.5,82.3,20.4,10.9,0.0,0.051,597.0,-124.20051,60.90616761336401,1
cream of tartar,8,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.01,0.0,0.009,2.138,0.01991,67.10865399210687,1
popover dry mix,631,7.3,1.7,3.4,1.4,120.7,0.0,17.7,0.0,0.0,1.5,205.3,23.134999999999998,68.26282035918577,1
egg substitute powder,126,3.7,1.1,1.5,0.5,6.2,6.2,15.7,0.0,161.9,0.2,119.1,7.328999999999995,67.47360631770684,1
gelatin powder,17,0.086,0.09,0.054,0.063,0.0,0.0,4.3,0.0,0.0,0.029,7.255,6.26971,67.42071459671493,1
tapioca pearls,544,0.093,0.075,0.088,0.057,134.8,5.1,0.3,1.4,0.0,0.077,169.318,-7.10077,66.75310922171093,1
baking powder,2,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.03,0.0,0.5,272.196,0.055,67.11040608123223,1
egg boiled,93,6.4,2.0,2.4,0.8,0.7,0.7,7.5,0.0,223.8,0.042,45.338,3.6115799999999996,67.28799072476272,1
millet flour,444,5.1,0.6,1.1,3.1,86.9,2.0,12.8,4.2,0.0,0.056,130.4,22.399440000000002,68.22609289617486,1
triticale flour,439,2.4,0.4,0.2,1.0,95.1,0.0,17.1,19.0,0.0,0.096,182.5,62.84904000000001,70.24579378774807,1
corn flour white,414,4.2,0.6,1.1,2.0,87.3,1.8,9.6,7.3,0.0,0.036,267.4,24.19964,68.31597921260347,1
rice flour brown,574,4.4,0.9,1.6,1.6,120.8,1.3,11.4,7.3,0.0,0.039,164.4,27.29961,68.47076472773465,1
sorghum flour,437,4.0,0.6,1.1,1.7,93.7,2.3,9.5,8.0,0.0,0.023,133.3,24.44977,68.32846852730643,1
cornmeal whole grain,442,4.4,0.6,1.2,2.0,93.8,0.8,9.9,8.9,0.0,0.022,128.5,29.849780000000006,68.59809801712842,1
cornmeal white,581,2.7,0.3,0.5,1.0,124.7,2.5,11.2,6.1,0.0,0.094,151.1,23.399059999999995,68.27600521682166,1
barley flour,511,2.4,0.5,0.3,1.1,110.3,1.2,15.5,14.9,0.0,0.062,194.5,49.64938,69.58671767647718,1
safflower seed meal,97,0.7,0.029,0.099,0.4,13.8,0.0,10.1,0.0,0.0,0.006,47.8,15.09194,67.8612199613332,1
sesame flour,658,46.4,6.5,17.5,20.3,33.3,0.0,38.5,0.0,0.0,0.041,336.0,44.74959,69.34206481880932,1
whole grain wheat flour,408,3.0,0.5,0.3,1.4,86.4,0.5,15.9,12.8,0.0,0.027,163.2,47.44973,69.47688630444509,1
corn flour yellow,422,4.5,0.6,1.2,2.1,89.9,0.7,8.1,8.5,0.0,0.04,122.0,26.5496,68.43331575751766,1
corn flour whole grain,422,4.5,0.6,1.2,2.1,89.9,0.7,8.1,8.5,0.0,0.033,122.0,26.54967,68.43331925270829,1
cottonseed flour low fat,94,0.4,0.082,0.046,0.2,10.2,0.0,14.1,0.0,0.0,0.022,163.1,20.98578,68.15550702233728,1
sunflower seed flour,13,0.013,0.036,0.059,0.077,1.4,0.0,1.9,0.2,0.0,0.073,8.557,3.1772699999999996,67.26630506423162,1
sesame meal,160,13.6,1.9,5.1,6.0,7.4,0.0,4.8,0.0,0.0,0.073,73.2,3.3992699999999996,67.2773898116192,1
acorn flour,626,37.7,4.9,23.9,7.3,68.3,0.0,9.4,0.0,0.0,0.0,170.7,4.300000000000001,67.32236442654906,1
rice flour white,578,2.2,0.6,0.7,0.6,126.6,0.2,9.4,3.8,0.0,0.0,158.4,20.100000000000005,68.11127888026076,1
sesame flour low fat,94,0.5,0.011,0.2,0.2,10.0,0.0,14.2,0.0,0.0,0.072,70.9,21.277279999999998,68.1700619946953,1
potato flour,571,0.5,0.1,0.063,0.2,133.0,5.6,11.0,9.4,0.0,0.042,155.4,23.89958,68.30099682836416,1
cornmeal yellow,581,2.7,0.3,0.5,1.0,124.7,2.5,11.2,6.1,0.0,0.011,151.1,23.399889999999996,68.27604665979612,1
rye flour,364,1.4,0.2,0.2,0.6,78.2,0.9,10.0,8.2,0.0,0.061,112.0,29.199389999999998,68.5656232024734,1
arrowroot flour,457,0.1,0.019,0.088,0.036,112.8,0.0,0.4,4.4,0.0,0.002,169.3,9.36198,67.57511564087815,1
chickpea flour,356,6.2,0.6,1.4,2.7,53.2,10.0,20.6,9.9,0.0,0.05,135.8,29.499500000000005,68.58060808327741,1
wheat flour,455,1.2,0.2,0.1,0.5,95.4,0.3,12.9,3.4,0.0,0.061,137.5,25.14939,68.36340145959161,1
cornstarch,488,0.03,0.077,0.046,0.012,116.8,0.0,0.3,1.2,0.0,0.093,121.535,2.69507,67.24222819400505,1
carob flour,13,0.061,0.041,0.088,0.052,5.3,2.9,0.3,2.4,0.0,0.033,29.18,-0.6323299999999998,67.07608680455694,1
buckwheat flour,402,3.7,0.8,1.1,1.1,84.7,3.1,15.1,12.0,0.0,0.033,169.6,38.849669999999996,69.04747417553448,1
pecan pie,503,27.1,4.9,13.6,7.0,63.7,0.0,6.0,0.0,106.1,0.3,137.891,-1.8640000000000008,67.01458792701243,1
apple pie,331,15.6,3.8,6.7,4.2,46.4,0.0,3.0,0.0,0.0,0.3,77.358,-3.1029999999999998,66.95272305307897,1
vanilla wafer pie crust,935,63.7,13.1,27.5,18.8,88.4,12.9,6.5,0.2,68.6,0.9,236.2,-42.545,64.98333293388298,1
chocolate pie crust,881,40.8,8.6,26.4,3.7,117.4,47.9,11.1,4.9,0.0,0.9,240.2,-86.559,62.785656936055986,1
apple strudel,195,8.0,1.5,2.3,3.8,29.2,18.3,2.3,1.6,4.3,0.02,53.359,-32.9932,65.46026667305787,1
chocolate snack cake,200,8.0,2.4,4.3,0.9,30.2,18.9,1.8,1.6,0.0,0.2,102.459,-36.702,65.27508148787268,1
fruit fried pie,404,20.6,3.1,9.5,6.9,54.5,27.4,3.8,3.3,0.0,0.4,113.776,-48.704,64.67580609081904,1
pumpkin pie,316,14.4,4.9,5.7,2.8,40.9,0.0,7.0,0.0,65.1,0.3,212.686,0.045999999999999375,67.10995669958137,1
corn cake,35,0.2,0.019,0.032,0.098,7.5,2.1,0.7,0.2,0.0,0.01,10.437,-2.7881000000000005,66.96844641772921,1
sponge snack cake,157,4.8,1.7,2.1,0.8,26.9,15.7,1.5,0.4,17.2,0.2,44.404,-31.923999999999996,65.51365321317867,1
danish pastry with nuts,280,16.4,3.8,8.9,2.8,29.7,16.8,4.6,1.3,29.9,0.2,115.451,-32.001000000000005,65.50980850349919,1
chocolate cream pie,301,19.2,4.9,11.0,2.4,33.3,0.0,2.6,2.0,5.0,0.1,93.8,-1.9510000000000003,67.01024390438756,1
angel food cake,72,0.2,0.071,0.095,0.1,16.2,0.0,1.7,0.4,0.0,0.2,57.8,3.206,67.26773959032371,1
lemon meringue pie,362,16.4,4.0,7.1,4.2,49.7,0.0,4.8,0.0,67.3,0.3,91.632,-1.4760000000000006,67.03396126929346,1
danish pastry with cinnamon,349,16.7,3.5,10.6,1.6,46.9,0.0,4.8,0.0,27.3,0.3,109.897,-0.07600000000000073,67.10386508164765,1
cinnamon coffeecake,238,13.3,3.3,7.4,1.8,26.6,0.0,3.9,1.1,18.2,0.2,77.089,1.2660000000000011,67.1708728789186,1
cheesecake,257,18.0,7.9,6.9,1.3,20.4,17.4,4.4,0.3,44.0,0.4,84.8,-43.843999999999994,64.91847218227718,1
fruitcake,139,3.9,0.5,1.8,1.4,26.5,11.8,1.2,1.6,2.2,0.013,48.507,-19.62213,66.12790150752565,1
egg custard,293,12.9,6.1,3.9,1.2,31.0,31.0,14.2,0.0,236.9,0.2,360.9,-55.27100000000001,64.3479072795833,1
mince pie,477,17.8,4.4,7.7,4.7,79.2,46.7,4.3,4.3,0.0,0.4,154.1,-87.15400000000001,62.755947815805456,1
yellow cake with chocolate frosting,546,25.6,8.3,10.4,6.8,79.7,56.5,4.6,2.2,23.0,0.4,161.1,-118.53400000000002,61.18910379318058,1
danish pastry with fruit,335,15.9,3.3,10.1,1.6,45.1,0.0,4.8,0.0,18.8,0.3,90.454,0.40899999999999964,67.12808175949894,1
white cake with coconut frosting,399,11.5,4.4,4.1,2.4,70.8,64.3,4.9,1.1,1.1,0.3,190.574,-127.86399999999999,60.72324481513437,1
danish pastry with cheese,353,24.6,5.1,15.6,2.4,28.7,0.0,5.8,0.0,20.0,0.3,133.666,-1.7029999999999998,67.02262686543317,1
graham cracker pie crust,917,45.4,9.1,31.0,3.1,117.7,33.2,9.3,3.5,0.0,0.9,233.8,-63.659000000000006,63.929083580992554,1
blueberry pie,360,17.5,4.3,7.5,4.5,49.2,0.0,4.0,0.0,0.0,0.3,83.8,-2.6029999999999998,66.97768870034831,1
yellow cake with vanilla frosting,239,9.3,1.5,3.9,3.3,37.6,0.0,2.2,0.2,35.2,0.2,89.788,0.34600000000000014,67.12493608794298,1
pie crust,121,8.0,2.0,3.5,2.1,10.9,0.045,1.5,0.4,0.0,0.1,23.8,-1.041,67.0556813824178,1
chocolate cake with chocolate frosting,537,27.7,8.2,10.1,6.4,72.9,55.1,4.8,3.0,30.4,0.5,154.164,-113.709,61.43002228932988,1
cheese coffeecake,258,11.6,4.1,5.4,1.3,33.7,0.0,5.3,0.8,64.6,0.3,96.831,0.7009999999999998,67.14266169750424,1
vanilla cream pie,350,18.1,5.1,7.6,4.3,41.1,16.0,6.0,0.8,78.1,0.3,181.4,-32.384,65.49068481769086,1
pineapple cake,367,13.9,3.4,6.0,3.8,58.1,0.0,4.0,0.9,25.3,0.4,218.024,0.743,67.14475881187487,1
peach pie,262,11.7,1.8,5.0,4.4,38.5,19.0,2.2,0.9,0.0,0.3,64.447,-36.503,65.2850178154859,1
fruit coffeecake,156,5.1,1.2,2.8,0.7,25.8,0.0,2.6,1.3,3.5,0.2,58.9,4.063,67.3105307097434,1
pound cake,116,6.0,3.5,1.8,0.3,14.6,0.0,1.7,0.2,66.3,0.1,33.47,-4.714000000000001,66.87228373757709,1
pound cake bread,215,9.6,1.7,2.4,5.2,28.2,10.0,3.9,0.9,0.0,0.2,69.1,-15.752000000000002,66.32114210845876,1
